key,value,date
Ph.D.,19,41
Ph.D.,20,42
Ph.D.,9,43
Ph.D.,13,44
Ph.D.,16,45
Ph.D.,11,46
Ph.D.,5,47
Ph.D.,12,48
Ph.D.,6,49
Ph.D.,5,50
Ph.D.,3,51
Ph.D.,6,52
Ph.D.,3,53
Ph.D.,2,55
Ph.D.,2,56
Ph.D.,1,57
Ph.D.,1,58
Ph.D.,2,59
Ph.D.,1,60
Ph.D.,1,61
Ph.D.,2,63
Ph.D.,1,64
